family_id,record_number,excel_row,all_pubs
33565480,WO2005002965A1,181,WO2005002965A1 | AU2003254326A1
84534567,CZ36702U1,289,CZ36702U1
38293728,ES2268941A1,299,ES2268941B1 | ES2268941A1
44168672,GB201107104D0,393,GB201107104D0 | WO2012146931A1
64453699,GB201817002D0,443,GB201817002D0
43567215,GB201021244D0,464,WO2012080737A3 | GB201021244D0 | GB2486448A | GB2486448B | WO2012080737A2
60000007869614,JP2026505730A,474,JP2026505730A
38006293,CA2627519A1,642,EP1951567A4 | WO2007052271A3 | CA2627519A1 | EP1951567A2 | BRPI0618228A2 | JP2009513435A | WO2007052271A2 | IN-DELNP-2008-03474A | CN101535123A | KR20080077968A | RU2008121869A
40862667,GB0905313D0,687,GB2468917A | GB0905313D0
78806052,GB202115069D0,734,WO2023067339A1 | GB2614228B | GB2614228A8 | GB2614228A | GB202115069D0
43623011,US2011048438A1,981,EP2473069A4 | US2011048438A1 | WO2011026051A2 | US9022041B2 | IN-DELNP-2012-02330A | WO2011026051A3 | IN400889A1 | EP2473069A2
41359226,KR20090101413A,988,KR20090101413A
26846328,ITMI20001822A0,1119,DE10037539A1 | ITMI20001822A1 | DE10037539B4 | IT1318726B1 | FR2797430A1 | GB0018823D0 | FR2797430B1 | KR20010049953A | GB2353018A | JP2001080587A | GB2353018B | CA2314835A1 | ITMI20001822A0
37565071,ES2262370A1,1146,ES2262370B1 | ES2262370A1
71616611,RU2726391C1,1164,RU2726391C1
37699072,CN1907806A,1228,CN1907806A | WO2007014531A1
55313036,RU2014128158A,1289,RU2014128158A | RU2586180C2
7645264,DE10028631A1,1318,WO0194198A3 | DE10028631B4 | EP1286886A2 | WO0194198A2 | DE10028631A1
34793607,WO2005067413A2,1343,WO2005067413A2 | WO2005067413A3 | AU2003303967A1
25682259,US6367736B1,1468,JP4499249B2 | IT1308096B1 | EP1057724B1 | DE1057724T1 | US6367736B1 | ITTO990469A1 | JP2001001995A | CA2327081A1 | EP1057724A2 | EP1057724A3 | CA2327081C
34706767,DE102004001002A1,1597,DE102004001002A1
34716929,DE202005003894U1,1598,DE202005003894U1
44993392,GB201116579D0,1611,GB201208743D0 | GB2494948A | GB201116579D0
31992202,US6622962B1,1626,AU2003267212A8 | WO2004024558A2 | US6622962B1 | AU2003267212A1 | WO2004024558A3
34954927,FR2877918A1,1640,FR2877918A1
